OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate
3777,Chapel Hill Elementary,Baltimore,4,2021/11/10 15:00:00+00
3778,Chesapeake High School,Anne Arundel,50,2021/11/10 15:00:00+00
3779,Chesapeake Science Point Charter School,Anne Arundel,2,2021/11/10 15:00:00+00
3780,Cranberry Station Elementary School,Carroll,2,2021/11/10 15:00:00+00
3781,Crisfield High School,Somerset,33,2021/11/10 15:00:00+00
3782,Crofton Elementary School,Anne Arundel,2,2021/11/10 15:00:00+00
3783,Crofton Woods Elementary School,Anne Arundel,4,2021/11/10 15:00:00+00
3784,Davidsonville Elementary School,Anne Arundel,4,2021/11/10 15:00:00+00
3785,Dayton Oaks Elementary School,Howard,4,2021/11/10 15:00:00+00
3786,Deerfield Elementary School,Harford,5,2021/11/10 15:00:00+00
3787,Dynard Elementary School,St. Mary's,19,2021/11/10 15:00:00+00
3788,Easton Elementary School,Talbot,3,2021/11/10 15:00:00+00
3789,Eastport Elementary School,Anne Arundel,2,2021/11/10 15:00:00+00
3790,Elmer A. Wolfe Elementary School,Carroll,2,2021/11/10 15:00:00+00
3791,Esperanza Middle School,St. Mary's,42,2021/11/10 15:00:00+00
3792,Fifth District Elementary School,Baltimore,5,2021/11/10 15:00:00+00
3793,Forest Ridge Elementary School,Howard,2,2021/11/10 15:00:00+00
3794,Fort Hill High School,Allegany,44,2021/11/10 15:00:00+00
3795,Friendship Valley Elementary School,Carroll,6,2021/11/10 15:00:00+00
3796,Glade Elementary School,Frederick,2,2021/11/10 15:00:00+00
3797,Glenelg High School,Howard,2,2021/11/10 15:00:00+00
3798,Grace Academy,Washington,2,2021/11/10 15:00:00+00
3799,Great Mills High School,St. Mary's,64,2021/11/10 15:00:00+00
3800,Greenwood Elementary School,Somerset,19,2021/11/10 15:00:00+00
3801,Harper's Choice Middle School,Howard,13,2021/11/10 15:00:00+00
3802,Havre de Grace Elementary School,Harford,28,2021/11/10 15:00:00+00
3803,Heather Hills Elementary School,Prince George's,3,2021/11/10 15:00:00+00
3804,Hebron-Harman Elementary School,Anne Arundel,9,2021/11/10 15:00:00+00
3805,Hereford Middle School,Baltimore,4,2021/11/10 15:00:00+00
3806,Hickory Elementary School,Harford,13,2021/11/10 15:00:00+00
3807,Holy Trinity Episcopal School,Prince George's,2,2021/11/10 15:00:00+00
3808,Honeygo Elementary School,Baltimore,6,2021/11/10 15:00:00+00
3809,J. Frank Dent Elementary School,Prince George's,2,2021/11/10 15:00:00+00
3810,Jacksonville Elementary School,Baltimore,12,2021/11/10 15:00:00+00
3811,Jacobsville Elementary School,Anne Arundel,2,2021/11/10 15:00:00+00
3812,John Archer School,Harford,3,2021/11/10 15:00:00+00
3813,Joppa View Elementary School,Baltimore,2,2021/11/10 15:00:00+00
3814,Joppatowne Elementary School,Harford,4,2021/11/10 15:00:00+00
3815,Kennard Elementary School,Queen Anne's,10,2021/11/10 15:00:00+00
3816,Kent Island High School,Queen Anne's,10,2021/11/10 15:00:00+00
3817,Kingsville Elementary School,Baltimore,5,2021/11/10 15:00:00+00
3818,Lamb of God,Baltimore,3,2021/11/10 15:00:00+00
3819,Leonardtown High School,St. Mary's,81,2021/11/10 15:00:00+00
3820,Leonardtown Middle School,St. Mary's,57,2021/11/10 15:00:00+00
3821,Lindale Middle School,Anne Arundel,7,2021/11/10 15:00:00+00
3822,Magothy River Middle School,Anne Arundel,12,2021/11/10 15:00:00+00
3823,Manchester Valley High School,Carroll,6,2021/11/10 15:00:00+00
3824,Margaret Brent Middle School,St. Mary's,101,2021/11/10 15:00:00+00
3825,McDonogh School,Baltimore,9,2021/11/10 15:00:00+00
3826,Middleborough Elementary School,Baltimore,2,2021/11/10 15:00:00+00
3827,Mother Mary Lange Catholic School,Baltimore City,3,2021/11/10 15:00:00+00
3828,Mount Airy Middle School,Carroll,2,2021/11/10 15:00:00+00
3829,Mount Aviat School,Cecil,2,2021/11/10 15:00:00+00
3830,Mount Savage School,Allegany,6,2021/11/10 15:00:00+00
3831,Mount View Middle School,Howard,10,2021/11/10 15:00:00+00
3832,Mountain Ridge High School,Allegany,36,2021/11/10 15:00:00+00
3833,Murray Hill Middle School,Howard,2,2021/11/10 15:00:00+00
3834,North Dorchester Middle School,Dorchester,37,2021/11/10 15:00:00+00
3835,North East Elementary School,Cecil,6,2021/11/10 15:00:00+00
3836,North Harford Elementary School,Harford,5,2021/11/10 15:00:00+00
3837,Northeast High School,Anne Arundel,33,2021/11/10 15:00:00+00
3838,Northern Middle School,Washington,39,2021/11/10 15:00:00+00
3839,Northwest Middle School,Carroll,38,2021/11/10 15:00:00+00
3840,Ocean City Elementary School,Worcester,4,2021/11/10 15:00:00+00
3841,Ohr Chadash Academy,Baltimore City,14,2021/11/10 15:00:00+00
3842,Old Forge Elementary School,Washington,5,2021/11/10 15:00:00+00
3843,Old Mill High School,Anne Arundel,3,2021/11/10 15:00:00+00
3844,Orchard Groves Elementary School,Frederick,18,2021/11/10 15:00:00+00
3845,Our Lady of Lourdes Catholic School,Montgomery,9,2021/11/10 15:00:00+00
3846,Our Lady Star of the Sea School,Calvert,2,2021/11/10 15:00:00+00
3847,Overlook Elementary School,Anne Arundel,2,2021/11/10 15:00:00+00
3848,Parkville Middle School,Baltimore,8,2021/11/10 15:00:00+00
3849,Perry Hall Elementary School,Baltimore,17,2021/11/10 15:00:00+00
3850,Perryville Middle School,Cecil,14,2021/11/10 15:00:00+00
3851,Rising Sun Elementary School,Cecil,4,2021/11/10 15:00:00+00
3852,Riverview Elementary School,Baltimore,2,2021/11/10 15:00:00+00
3853,Roland Park Elementary/Middle School,Baltimore City,8,2021/11/10 15:00:00+00
3854,Rolling Knolls Elementary School,Anne Arundel,2,2021/11/10 15:00:00+00
3855,Rosedale Baptist School Elementary School,Baltimore,3,2021/11/10 15:00:00+00
3856,Running Brook Elementary School,Howard,4,2021/11/10 15:00:00+00
3857,Saint Bernadette School,Montgomery,3,2021/11/10 15:00:00+00
3858,Saint Elizabeth School,Baltimore City,3,2021/11/10 15:00:00+00
3859,Salisbury Baptist Academy,Wicomico,11,2021/11/10 15:00:00+00
3860,Sandymount Elementary School,Carroll,19,2021/11/10 15:00:00+00
3861,Severn River Middle School,Anne Arundel,2,2021/11/10 15:00:00+00
3862,Severna Park High School,Anne Arundel,5,2021/11/10 15:00:00+00
3863,Shady Side Elementary School,Anne Arundel,2,2021/11/10 15:00:00+00
3864,Shiloh Middle School,Carroll,5,2021/11/10 15:00:00+00
3865,Snow Hill Middle School,Worcester,28,2021/11/10 15:00:00+00
3866,Somerset Intermediate School,Somerset,29,2021/11/10 15:00:00+00
3867,Southern High School,Anne Arundel,8,2021/11/10 15:00:00+00
3868,Southern Middle School,Anne Arundel,25,2021/11/10 15:00:00+00
3869,Spring Ridge Middle School,St. Mary's,58,2021/11/10 15:00:00+00
3870,Springfield Middle School,Washington,3,2021/11/10 15:00:00+00
3871,St. Bernadette School,Montgomery,5,2021/11/10 15:00:00+00
3872,St. Francis de Sales Catholic School,Wicomico,2,2021/11/10 15:00:00+00
3873,St. John the Evangelist School,Prince George's,3,2021/11/10 15:00:00+00
3874,St. Mary's School,Prince George's,2,2021/11/10 15:00:00+00
3875,St. Mary's School,Anne Arundel,5,2021/11/10 15:00:00+00
3876,St. Michaels Elementary School,Talbot,2,2021/11/10 15:00:00+00
3877,St. Paul's School,Baltimore,9,2021/11/10 15:00:00+00
3878,St. Ursula Catholic School,Baltimore,44,2021/11/10 15:00:00+00
3879,Stephen Decatur High School,Worcester,7,2021/11/10 15:00:00+00
3880,Stephen Decatur Middle School,Worcester,15,2021/11/10 15:00:00+00
3881,Stepping Stones Learning Academy,Wicomico,2,2021/11/10 15:00:00+00
3882,Sugarloaf Elementary School,Frederick,6,2021/11/10 15:00:00+00
3883,Summit Park Elementary,Baltimore,8,2021/11/10 15:00:00+00
3884,The Foundation School,Prince George's,2,2021/11/10 15:00:00+00
3885,Timonium Elementary School,Baltimore,9,2021/11/10 15:00:00+00
3886,Urbana Middle School,Frederick,3,2021/11/10 15:00:00+00
3887,Van Bokkelen Elementary School,Anne Arundel,2,2021/11/10 15:00:00+00
3888,Washington High School,Somerset,25,2021/11/10 15:00:00+00
3889,Washington Middle School,Allegany,5,2021/11/10 15:00:00+00
3890,Watershed Public Charter School,Baltimore,6,2021/11/10 15:00:00+00
3891,Western Heights Middle School,Washington,36,2021/11/10 15:00:00+00
3892,Westmar Middle School,Allegany,2,2021/11/10 15:00:00+00
3893,Westport Academy,Baltimore City,2,2021/11/10 15:00:00+00
3894,White Oak School,Baltimore,3,2021/11/10 15:00:00+00
3895,Williamsport High School,Washington,43,2021/11/10 15:00:00+00
3896,Windy Hill Elementary School,Calvert,3,2021/11/10 15:00:00+00
3897,Woodside Elementary,Anne Arundel,2,2021/11/10 15:00:00+00
3898,Worcester Prepatory School,Worcester,2,2021/11/10 15:00:00+00
3899,Worthington Elementary School,Howard,2,2021/11/10 15:00:00+00
3900,Youth's Benefit Elementary School,Harford,2,2021/11/10 15:00:00+00
4067,Allegany High School,Allegany,44,2021/11/17 15:00:00+00
4068,Alphabet Education Inc at Mary B Neal Elementary,Charles,2,2021/11/17 15:00:00+00
4069,Arundel High School,Anne Arundel,10,2021/11/17 15:00:00+00
4070,Arundel Middle School,Anne Arundel,4,2021/11/17 15:00:00+00
4071,Atholton Elementary School,Howard,6,2021/11/17 15:00:00+00
4072,Ballenger Creek Elementary School,Frederick,2,2021/11/17 15:00:00+00
4073,Bel Air Elementary School,Harford,3,2021/11/17 15:00:00+00
4074,Beltsville Adventist School,Prince George's,5,2021/11/17 15:00:00+00
4075,Benfield Elementary School,Anne Arundel,2,2021/11/17 15:00:00+00
4076,Berlin Intermediate School,Worcester,2,2021/11/17 15:00:00+00
4077,Bladensburg High School,Prince George's,7,2021/11/17 15:00:00+00
4078,Braddock Middle School,Allegany,33,2021/11/17 15:00:00+00
4079,Broadneck High School,Anne Arundel,9,2021/11/17 15:00:00+00
4080,Brock Bridge Elementary School,Anne Arundel,2,2021/11/17 15:00:00+00
4081,Brookewood School,Montgomery,2,2021/11/17 15:00:00+00
4082,Brooklyn Park Middle School,Anne Arundel,5,2021/11/17 15:00:00+00
4083,Brunswick Elementary School,Frederick,16,2021/11/17 15:00:00+00
4084,Brunswick Middle School,Frederick,5,2021/11/17 15:00:00+00
4085,Bryant Woods Elementary School,Howard,4,2021/11/17 15:00:00+00
4086,Buckingham Elementary School,Worcester,17,2021/11/17 15:00:00+00
4087,Calvert Elementary School,Calvert,2,2021/11/17 15:00:00+00
4088,Calvin M. Rodwell Elementary/Middle School,Baltimore City,4,2021/11/17 15:00:00+00
4089,Captain Walter Francis Duke Middle School,St. Mary's,30,2021/11/17 15:00:00+00
4090,Catoctin High School,Frederick,30,2021/11/17 15:00:00+00
4091,Center for Applied Technology-North,Anne Arundel,2,2021/11/17 15:00:00+00
4092,Central Middle School,Anne Arundel,2,2021/11/17 15:00:00+00
4093,Chapel Hill Elementary,Baltimore,6,2021/11/17 15:00:00+00
4094,Chesapeake High School,Anne Arundel,54,2021/11/17 15:00:00+00
4095,Chesapeake Science Point Charter School,Anne Arundel,4,2021/11/17 15:00:00+00
4096,Clarksville Elementary School,Howard,3,2021/11/17 15:00:00+00
4097,Clear Spring Elementary School,Washington,2,2021/11/17 15:00:00+00
4098,Clemens Crossing Elementary School,Howard,2,2021/11/17 15:00:00+00
4099,Cranberry Station Elementary School,Carroll,2,2021/11/17 15:00:00+00
4100,Crisfield High School,Somerset,39,2021/11/17 15:00:00+00
4101,Crofton Woods Elementary School,Anne Arundel,9,2021/11/17 15:00:00+00
4102,Davidsonville Elementary School,Anne Arundel,5,2021/11/17 15:00:00+00
4103,Dayton Oaks Elementary School,Howard,4,2021/11/17 15:00:00+00
4104,Dynard Elementary School,St. Mary's,19,2021/11/17 15:00:00+00
4105,Easton Elementary School,Talbot,3,2021/11/17 15:00:00+00
4106,Easton Middle School,Talbot,9,2021/11/17 15:00:00+00
4107,Eastport Elementary School,Anne Arundel,2,2021/11/17 15:00:00+00
4108,Edgewater Elementary School,Anne Arundel,4,2021/11/17 15:00:00+00
4109,Elmer A. Wolfe Elementary School,Carroll,2,2021/11/17 15:00:00+00
4110,Esperanza Middle School,St. Mary's,43,2021/11/17 15:00:00+00
4111,Essex Elementary School,Baltimore,6,2021/11/17 15:00:00+00
4112,Fifth District Elementary School,Baltimore,10,2021/11/17 15:00:00+00
4113,Forest Ridge Elementary School,Howard,3,2021/11/17 15:00:00+00
4114,Fort Hill High School,Allegany,48,2021/11/17 15:00:00+00
4115,Fountain Rock Elementary School,Washington,5,2021/11/17 15:00:00+00
4116,Friendship Valley Elementary School,Carroll,9,2021/11/17 15:00:00+00
4117,Glade Elementary School,Frederick,2,2021/11/17 15:00:00+00
4118,Glenwood Middle School,Howard,4,2021/11/17 15:00:00+00
4119,Gorman Crossing Elementary School,Howard,5,2021/11/17 15:00:00+00
4120,Governor Thomas Johnson High School,Frederick,3,2021/11/17 15:00:00+00
4121,Grace Academy,Washington,2,2021/11/17 15:00:00+00
4122,Great Mills High School,St. Mary's,64,2021/11/17 15:00:00+00
4123,Greenwood Elementary School,Somerset,21,2021/11/17 15:00:00+00
4124,Hampstead Elementary School,Carroll,4,2021/11/17 15:00:00+00
4125,Harford Technical High School,Harford,5,2021/11/17 15:00:00+00
4126,Havre de Grace Elementary School,Harford,30,2021/11/17 15:00:00+00
4127,Hawthorne Elementary School,Baltimore,2,2021/11/17 15:00:00+00
4128,Heather Hills Elementary School,Prince George's,3,2021/11/17 15:00:00+00
4129,Hereford Middle School,Baltimore,4,2021/11/17 15:00:00+00
4130,Hickory Elementary School,Harford,13,2021/11/17 15:00:00+00
4131,Hillcrest Elementary School,Frederick,2,2021/11/17 15:00:00+00
4132,Honeygo Elementary School,Baltimore,8,2021/11/17 15:00:00+00
4133,Immaculate Heart of Mary Parish,Baltimore,3,2021/11/17 15:00:00+00
4134,J. Frank Dent Elementary School,Prince George's,2,2021/11/17 15:00:00+00
4135,Jacksonville Elementary School,Baltimore,12,2021/11/17 15:00:00+00
4136,Jacobsville Elementary School,Anne Arundel,2,2021/11/17 15:00:00+00
4137,John Archer School,Harford,3,2021/11/17 15:00:00+00
4138,Johnnycake Elementary School,Baltimore,2,2021/11/17 15:00:00+00
4139,Jones Elementary School,Anne Arundel,5,2021/11/17 15:00:00+00
4140,Joppatowne Elementary School,Harford,4,2021/11/17 15:00:00+00
4141,Kennard Elementary School,Queen Anne's,10,2021/11/17 15:00:00+00
4142,Kennedy Krieger School: Greenspring Campus,Baltimore City,2,2021/11/17 15:00:00+00
4143,Leonardtown High School,St. Mary's,82,2021/11/17 15:00:00+00
4144,Leonardtown Middle School,St. Mary's,66,2021/11/17 15:00:00+00
4145,Lincolnshire Elementary School,Washington,2,2021/11/17 15:00:00+00
4146,Lindale Middle School,Anne Arundel,8,2021/11/17 15:00:00+00
4147,Magothy River Middle School,Anne Arundel,13,2021/11/17 15:00:00+00
4148,Manchester Valley High School,Carroll,6,2021/11/17 15:00:00+00
4149,Margaret Brent Middle School,St. Mary's,103,2021/11/17 15:00:00+00
4150,McDonogh School,Baltimore,9,2021/11/17 15:00:00+00
4151,Mechanicsville Elementary School,Carroll,2,2021/11/17 15:00:00+00
4152,Mother Mary Lange Catholic School,Baltimore City,3,2021/11/17 15:00:00+00
4153,Mount Airy Middle School,Carroll,2,2021/11/17 15:00:00+00
4154,Mount Aviat Academy,Cecil,2,2021/11/17 15:00:00+00
4155,Mount Hebron High School,Howard,2,2021/11/17 15:00:00+00
4156,Mount Savage School,Allegany,7,2021/11/17 15:00:00+00
4157,Mountain Ridge High School,Allegany,38,2021/11/17 15:00:00+00
4158,Murray Hill Middle School,Howard,2,2021/11/17 15:00:00+00
4159,North Dorchester Middle School,Dorchester,38,2021/11/17 15:00:00+00
4160,North Harford Elementary School,Harford,5,2021/11/17 15:00:00+00
4161,Northeast High School,Anne Arundel,35,2021/11/17 15:00:00+00
4162,Northern Middle School,Washington,40,2021/11/17 15:00:00+00
4163,Northwest Middle School,Carroll,38,2021/11/17 15:00:00+00
4164,Oakleigh Elementary School,Baltimore,2,2021/11/17 15:00:00+00
4165,Ocean City Elementary School,Worcester,4,2021/11/17 15:00:00+00
4166,Ohr Chadash Academy,Baltimore City,21,2021/11/17 15:00:00+00
4167,Old Forge Elementary School,Washington,8,2021/11/17 15:00:00+00
4168,Old Mill High School,Anne Arundel,6,2021/11/17 15:00:00+00
4169,Orchard Groves Elementary School,Frederick,22,2021/11/17 15:00:00+00
4170,Our Lady of Lourdes Catholic School,Montgomery,9,2021/11/17 15:00:00+00
4171,Our Lady Star of the Sea School,Calvert,2,2021/11/17 15:00:00+00
4172,Overlook Elementary School,Anne Arundel,2,2021/11/17 15:00:00+00
4173,Parkside Elementary School,Allegany,2,2021/11/17 15:00:00+00
4174,Parkville Middle School,Baltimore,13,2021/11/17 15:00:00+00
4175,Pemberton Elementary School,Wicomico,5,2021/11/17 15:00:00+00
4176,Perry Hall Elementary School,Baltimore,22,2021/11/17 15:00:00+00
4177,Perry Hall Middle School,Baltimore,6,2021/11/17 15:00:00+00
4178,Perryville Elementary School,Cecil,4,2021/11/17 15:00:00+00
4179,Perryville Middle School,Cecil,14,2021/11/17 15:00:00+00
4180,Roland Park Elementary/Middle School,Baltimore City,8,2021/11/17 15:00:00+00
4181,Rolling Knolls Elementary School,Anne Arundel,2,2021/11/17 15:00:00+00
4182,Roye Williams Elementary School,Harford,4,2021/11/17 15:00:00+00
4183,Running Brook Elementary School,Howard,4,2021/11/17 15:00:00+00
4184,Salisbury Baptist Academy,Wicomico,11,2021/11/17 15:00:00+00
4185,Salisbury Christian School,Wicomico,9,2021/11/17 15:00:00+00
4186,Sandymount Elementary School,Carroll,19,2021/11/17 15:00:00+00
4187,Seven Oaks Elementary School,Baltimore,4,2021/11/17 15:00:00+00
4188,Severn Elementary School,Anne Arundel,10,2021/11/17 15:00:00+00
4189,Severn River Middle School,Anne Arundel,2,2021/11/17 15:00:00+00
4190,Severn School - Middle/Upper,Anne Arundel,4,2021/11/17 15:00:00+00
4191,Severna Park High School,Anne Arundel,5,2021/11/17 15:00:00+00
4192,Severna Park Middle School,Anne Arundel,8,2021/11/17 15:00:00+00
4193,Shady Side Elementary School,Anne Arundel,2,2021/11/17 15:00:00+00
4194,Shiloh Middle School,Carroll,5,2021/11/17 15:00:00+00
4195,Somerset Intermediate School,Somerset,29,2021/11/17 15:00:00+00
4196,Southern High School,Anne Arundel,8,2021/11/17 15:00:00+00
4197,Southern Middle School,Anne Arundel,31,2021/11/17 15:00:00+00
4198,Spring Ridge Middle School,St. Mary's,58,2021/11/17 15:00:00+00
4199,Springfield Middle School,Washington,5,2021/11/17 15:00:00+00
4200,St. Bernadette School,Montgomery,8,2021/11/17 15:00:00+00
4201,St. Francis de Sales Catholic School,Wicomico,7,2021/11/17 15:00:00+00
4202,St. John the Evangelist School,Baltimore,3,2021/11/17 15:00:00+00
4203,St. Mary's School,Prince George's,2,2021/11/17 15:00:00+00
4204,St. Mary's School,Anne Arundel,7,2021/11/17 15:00:00+00
4205,St. Mary's School of Piscataway,Prince George's,4,2021/11/17 15:00:00+00
4206,St. Michaels Elementary School,Talbot,2,2021/11/17 15:00:00+00
4207,St. Ursula Catholic School,Baltimore,42,2021/11/17 15:00:00+00
4208,Stephen Decatur High School,Worcester,7,2021/11/17 15:00:00+00
4209,Stephen Decatur Middle School,Worcester,16,2021/11/17 15:00:00+00
4210,Stepping Stones Learning Academy,Wicomico,4,2021/11/17 15:00:00+00
4211,Sugarloaf Elementary School,Frederick,7,2021/11/17 15:00:00+00
4212,Talbott Spring Elementary School,Howard,8,2021/11/17 15:00:00+00
4213,The Belair-Edison School,Baltimore City,18,2021/11/17 15:00:00+00
4214,The Trellis School,Baltimore,2,2021/11/17 15:00:00+00
4215,Tri-State Christian Academy,Charles,2,2021/11/17 15:00:00+00
4216,Tunbridge Public Charter School,Baltimore City,3,2021/11/17 15:00:00+00
4217,Urbana Middle School,Frederick,3,2021/11/17 15:00:00+00
4218,Van Bokkelen Elementary School,Anne Arundel,2,2021/11/17 15:00:00+00
4219,Washington High School,Somerset,28,2021/11/17 15:00:00+00
4220,Washington Middle School,Allegany,5,2021/11/17 15:00:00+00
4221,West Friendship Elementary School,Howard,3,2021/11/17 15:00:00+00
4222,West Towson Elementary School,Baltimore,2,2021/11/17 15:00:00+00
4223,Western Heights Middle School,Washington,40,2021/11/17 15:00:00+00
4224,Westmar Middle School,Allegany,2,2021/11/17 15:00:00+00
4225,Westport Academy,Baltimore City,2,2021/11/17 15:00:00+00
4226,Whittier Elementary School,Frederick,2,2021/11/17 15:00:00+00
4227,Williamsport High School,Washington,54,2021/11/17 15:00:00+00
4228,Windy Hill Elementary School,Calvert,3,2021/11/17 15:00:00+00
4229,Woodside Elementary School,Anne Arundel,2,2021/11/17 15:00:00+00
4230,Worcester Prepatory School,Worcester,2,2021/11/17 15:00:00+00
4231,Worthington Elementary School,Howard,3,2021/11/17 15:00:00+00
4232,Allegany High School,Allegany,44,2021/11/23 15:00:00+00
4233,Arbutus Middle School,Baltimore,5,2021/11/23 15:00:00+00
4234,Arnold Elementary School,Anne Arundel,2,2021/11/23 15:00:00+00
4235,Arundel High School,Anne Arundel,20,2021/11/23 15:00:00+00
4236,Arundel Middle School,Anne Arundel,7,2021/11/23 15:00:00+00
4237,Ballenger Creek Elementary School,Frederick,6,2021/11/23 15:00:00+00
4238,Bear Creek Elementary School,Baltimore,2,2021/11/23 15:00:00+00
4239,Bel Air Elementary School,Harford,3,2021/11/23 15:00:00+00
4240,Beltsville Adventist School,Prince George's,5,2021/11/23 15:00:00+00
4241,Benfield Elementary School,Anne Arundel,2,2021/11/23 15:00:00+00
4242,Braddock Middle School,Allegany,36,2021/11/23 15:00:00+00
4243,Broadneck High School,Anne Arundel,12,2021/11/23 15:00:00+00
4244,Brock Bridge Elementary School,Anne Arundel,2,2021/11/23 15:00:00+00
4245,Brookewood School,Montgomery,2,2021/11/23 15:00:00+00
4246,Brooklyn Park Middle School,Anne Arundel,5,2021/11/23 15:00:00+00
4247,Brunswick Elementary School,Frederick,20,2021/11/23 15:00:00+00
4248,Brunswick Middle School,Frederick,12,2021/11/23 15:00:00+00
4249,Bryant Woods Elementary School,Howard,4,2021/11/23 15:00:00+00
4250,Buckingham Elementary School,Worcester,21,2021/11/23 15:00:00+00
4251,Burleigh Manor Middle School,Howard,3,2021/11/23 15:00:00+00
4252,Calloway Elementary School,Baltimore City,2,2021/11/23 15:00:00+00
4253,Calvert Elementary School,Calvert,2,2021/11/23 15:00:00+00
4254,Calvin M. Rodwell Elementary/Middle School,Baltimore City,4,2021/11/23 15:00:00+00
4255,Captain Walter Francis Duke Middle School,St. Mary's,30,2021/11/23 15:00:00+00
4256,Cardinal Hickey Academy,Calvert,2,2021/11/23 15:00:00+00
4257,Career Center for Technical Education,Allegany,4,2021/11/23 15:00:00+00
4258,Cash Valley Elementary School,Allegany,2,2021/11/23 15:00:00+00
4259,Catoctin High School,Frederick,32,2021/11/23 15:00:00+00
4260,Catonsville Elementary School,Baltimore,2,2021/11/23 15:00:00+00
4261,Centennial Lane Elementary School,Howard,5,2021/11/23 15:00:00+00
4262,Central Middle School,Anne Arundel,2,2021/11/23 15:00:00+00
4263,Chapel Hill Elementary School,Baltimore,8,2021/11/23 15:00:00+00
4264,Chesapeake Bay Middle School,Anne Arundel,2,2021/11/23 15:00:00+00
4265,Chesapeake High School,Anne Arundel,60,2021/11/23 15:00:00+00
4266,Chesapeake Science Point Charter School,Anne Arundel,4,2021/11/23 15:00:00+00
4267,Churchville Elementary School,Harford,2,2021/11/23 15:00:00+00
4268,City Neighbors Charter School,Baltimore City,4,2021/11/23 15:00:00+00
4269,Clarksville Elementary School,Howard,3,2021/11/23 15:00:00+00
4270,Clear Spring Elementary School,Washington,2,2021/11/23 15:00:00+00
4271,Clemens Crossing Elementary School,Howard,4,2021/11/23 15:00:00+00
4272,Colgate Elementary School,Baltimore,2,2021/11/23 15:00:00+00
4273,ConneXions Arts School,Baltimore City,6,2021/11/23 15:00:00+00
4274,Corkran Middle School,Anne Arundel,2,2021/11/23 15:00:00+00
4275,Crisfield High School,Somerset,43,2021/11/23 15:00:00+00
4276,Crofton Woods Elementary School,Anne Arundel,10,2021/11/23 15:00:00+00
4277,Cross Country Elementary/Middle School,Baltimore City,10,2021/11/23 15:00:00+00
4278,Davidsonville Elementary School,Anne Arundel,5,2021/11/23 15:00:00+00
4279,Del Elementary School,Calvert,6,2021/11/23 15:00:00+00
4280,Dynard Elementary School,St. Mary's,19,2021/11/23 15:00:00+00
4281,Easton Elementary School,Talbot,8,2021/11/23 15:00:00+00
4282,Easton Middle School,Talbot,9,2021/11/23 15:00:00+00
4283,Eastport Elementary School,Anne Arundel,2,2021/11/23 15:00:00+00
4284,Edgewater Elementary School,Anne Arundel,4,2021/11/23 15:00:00+00
4285,Elkridge Elementary School,Howard,9,2021/11/23 15:00:00+00
4286,Esperanza Middle School,St. Mary's,43,2021/11/23 15:00:00+00
4287,Essex Elementary School,Baltimore,6,2021/11/23 15:00:00+00
4288,Federal Hill Preparatory School,Baltimore City,6,2021/11/23 15:00:00+00
4289,Fifth District Elementary School,Baltimore,12,2021/11/23 15:00:00+00
4290,Folger Mckinsey Elementary School,Anne Arundel,2,2021/11/23 15:00:00+00
4291,Forest Ridge Elementary School,Howard,4,2021/11/23 15:00:00+00
4292,Fort Hill High School,Allegany,50,2021/11/23 15:00:00+00
4293,Fountain Rock Elementary School,Washington,7,2021/11/23 15:00:00+00
4294,Frederick High School,Frederick,2,2021/11/23 15:00:00+00
4295,George Washington Carver Elementary School,St. Mary's,2,2021/11/23 15:00:00+00
4296,Glade Elementary School,Frederick,2,2021/11/23 15:00:00+00
4297,Glenelg Country School,Howard,2,2021/11/23 15:00:00+00
4298,Glenwood Middle School,Howard,4,2021/11/23 15:00:00+00
4299,Good Shepherd Catholic School,Cecil,2,2021/11/23 15:00:00+00
4300,Gorman Crossing Elementary School,Howard,6,2021/11/23 15:00:00+00
4301,Governor Thomas Johnson High School,Frederick,6,2021/11/23 15:00:00+00
4302,Governor Thomas Johnson Middle School,Frederick,,2021/11/23 15:00:00+00
4303,Grace Academy,Washington,2,2021/11/23 15:00:00+00
4304,Grasonville Elementary School,Queen Anne's,3,2021/11/23 15:00:00+00
4305,Great Mills High School,St. Mary's,65,2021/11/23 15:00:00+00
4306,Green Holly Elementary School,St. Mary's,3,2021/11/23 15:00:00+00
4307,Greenwood Elementary School,Somerset,21,2021/11/23 15:00:00+00
4308,Hammond Middle School,Howard,2,2021/11/23 15:00:00+00
4309,Hampden Elementary School,Baltimore City,4,2021/11/23 15:00:00+00
4310,Hampstead Elementary School,Carroll,4,2021/11/23 15:00:00+00
4311,Hanover Hill Elementary School,Howard,5,2021/11/23 15:00:00+00
4312,Harford Technical High School,Harford,6,2021/11/23 15:00:00+00
4313,Harlem Park Elementary/Middle School,Baltimore City,5,2021/11/23 15:00:00+00
4314,Hawthorne Elementary School,Baltimore,2,2021/11/23 15:00:00+00
4315,Hereford High School,Baltimore,3,2021/11/23 15:00:00+00
4316,Hereford Middle School,Baltimore,10,2021/11/23 15:00:00+00
4317,Hickory Elementary School,Harford,13,2021/11/23 15:00:00+00
4318,Hillcrest Elementary School,Frederick,2,2021/11/23 15:00:00+00
4319,Honeygo Elementary School,Baltimore,8,2021/11/23 15:00:00+00
4320,Immaculate Heart of Mary Parish,Baltimore,3,2021/11/23 15:00:00+00
4321,Jacksonville Elementary School,Baltimore,14,2021/11/23 15:00:00+00
4322,Jacobsville Elementary School,Anne Arundel,2,2021/11/23 15:00:00+00
